task,participant,judge,run_id,server_type,file,runtime_s
FLAT1,Gandagorn,abhishek,1,g5.2xlarge,synthetic-FLAT1-run1.csv.gz,8756
FLAT1,Gandagorn,abhishek,2,g5.2xlarge,synthetic-FLAT1-run2.csv.gz,8678
FLAT1,Gandagorn,abhishek,3,g5.2xlarge,synthetic-FLAT1-run3.csv.gz,8679
FLAT1,Gandagorn,michi,4,g5.2xlarge,synthetic-FLAT1-run4.csv.gz,8676
FLAT1,Gandagorn,michi,5,g5.2xlarge,synthetic-FLAT1-run5.csv,8712
FLAT1,Gandagorn,michi,6,g5.2xlarge,synthetic-FLAT1-run6.csv.gz,8568
FLAT2,Tecnarca,shripad,1,g5.2xlarge,synthetic-FLAT2-run1.csv.gz,12909
FLAT2,Tecnarca,shripad,2,g5.2xlarge,synthetic-FLAT2-run2.csv.gz,13020
FLAT2,Tecnarca,shripad,3,g5.2xlarge,synthetic-FLAT2-run3.csv.gz,13199
FLAT2,Tecnarca,mario,4,g5.2xlarge,synthetic-FLAT2-run4.csv.gz,12959
FLAT2,Tecnarca,mario,5,g5.2xlarge,synthetic-FLAT2-run5.csv.gz,12253
FLAT2,Tecnarca,mario,6,g5.2xlarge,synthetic-FLAT2-run6.csv.gz,12275
FLAT3,muellermarkus,suhas,1,,synthetic-FLAT3-run1.csv.gz,6870
FLAT3,muellermarkus,suhas,2,,synthetic-FLAT3-run2.csv.gz,6871
FLAT3,muellermarkus,suhas,3,,synthetic-FLAT3-run3.csv.gz,6871
FLAT3,muellermarkus,andrey,4,g5.2xlarge,synthetic-FLAT3-run4.csv.gz,6911
FLAT3,muellermarkus,andrey,5,g5.2xlarge,synthetic-FLAT3-run5.csv.gz,6887
FLAT3,muellermarkus,andrey,6,g5.2xlarge,synthetic-FLAT3-run6.csv.gz,6886
FLAT4,EugenioTL,abhishek,1,g5.2xlarge,synthetic-FLAT4-run1.csv.gz,7112
FLAT4,EugenioTL,abhishek,2,g5.2xlarge,synthetic-FLAT4-run2.csv.gz,7071
FLAT4,EugenioTL,abhishek,3,g5.2xlarge,synthetic-FLAT4-run3.csv.gz,7126
FLAT4,EugenioTL,michi,4,g5.2xlarge,synthetic-FLAT4-run4.csv.gz,6938
FLAT4,EugenioTL,michi,5,g5.2xlarge,synthetic-FLAT4-run5.csv.gz,6911
