username,submitted_at,processed_at,type,score,dcr_share,nndr_ratio,qa_report,is_qualified
avaleriop,2025-07-03 23:50:47.421+00,2025-07-03 23:59:18.940447+00,flat,0.956965,0.507,0.942472,"{""accuracy"": {""overall"": 0.9569654, ""bivariate"": 0.9575904, ""coherence"": null, ""trivariate"": 0.9372206, ""univariate"": 0.9760851, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.507, ""dcr_holdout"": 0.1, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.099, ""ims_training"": 0.0, ""nndr_holdout"": 0.096774955928, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.091207727105}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.502, ""cosine_similarity_training_synthetic"": 0.999018, ""discriminator_auc_training_synthetic"": 0.927}}",t
avaleriop,2025-07-03 23:44:35.142+00,2025-07-03 23:44:40.957362+00,flat,0.0,,,{},f
avaleriop,2025-07-03 23:41:41.746+00,2025-07-03 23:43:38.05785+00,flat,0.0,,,{},f
Tecnarca,2025-07-03 23:41:37.986+00,2025-07-03 23:43:34.649072+00,sequential,0.968066,0.511,0.853158,"{""accuracy"": {""overall"": 0.9680655, ""bivariate"": 0.9715644, ""coherence"": 0.9803843, ""trivariate"": 0.9296115, ""univariate"": 0.9907018, ""overall_max"": 0.9721545, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883253, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.511, ""dcr_holdout"": 0.058, ""dcr_trn_hol"": 0.056, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.058, ""ims_training"": 0.003, ""nndr_holdout"": 0.000000167275, ""nndr_trn_hol"": 0.000000146683, ""nndr_training"": 0.000000142712}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999833, ""discriminator_auc_training_holdout"": 0.507, ""cosine_similarity_training_synthetic"": 0.9999274, ""discriminator_auc_training_synthetic"": 0.512}}",t
Tecnarca,2025-07-03 23:30:29.79+00,2025-07-03 23:38:46.480456+00,flat,0.986132,0.511,1.03181,"{""accuracy"": {""overall"": 0.9861318, ""bivariate"": 0.987811, ""coherence"": null, ""trivariate"": 0.9759524, ""univariate"": 0.9946319, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.511, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.096, ""ims_training"": 0.0, ""nndr_holdout"": 0.106039281052, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.109412621329}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.503, ""cosine_similarity_training_synthetic"": 0.9999678, ""discriminator_auc_training_synthetic"": 0.511}}",t
EugenioTL,2025-07-03 22:48:04.899+00,2025-07-03 22:53:42.970194+00,sequential,0.96897,0.51,0.928171,"{""accuracy"": {""overall"": 0.9689704, ""bivariate"": 0.9723436, ""coherence"": 0.9826117, ""trivariate"": 0.9314464, ""univariate"": 0.98948, ""overall_max"": 0.9721536, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.9883217, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.51, ""dcr_holdout"": 0.097, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.003, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.096, ""ims_training"": 0.004, ""nndr_holdout"": 0.000000110151, ""nndr_trn_hol"": 0.000000087808, ""nndr_training"": 0.000000102239}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999834, ""discriminator_auc_training_holdout"": 0.493, ""cosine_similarity_training_synthetic"": 0.9999423, ""discriminator_auc_training_synthetic"": 0.504}}",t
Ashish-Soni08,2025-07-03 22:43:13.576+00,2025-07-03 22:51:37.189962+00,flat,0.951865,0.505,1.04422,"{""accuracy"": {""overall"": 0.951865, ""bivariate"": 0.9526936, ""coherence"": null, ""trivariate"": 0.927609, ""univariate"": 0.9752923, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.505, ""dcr_holdout"": 0.136, ""dcr_trn_hol"": 0.089, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.136, ""ims_training"": 0.0, ""nndr_holdout"": 0.188549376413, ""nndr_trn_hol"": 0.054491899705, ""nndr_training"": 0.196887582425}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.504, ""cosine_similarity_training_synthetic"": 0.9978977, ""discriminator_auc_training_synthetic"": 0.82}}",t
Ashish-Soni08,2025-07-03 22:24:46.774+00,2025-07-03 22:33:20.273263+00,flat,0.889685,0.505,1.01418,"{""accuracy"": {""overall"": 0.8896848, ""bivariate"": 0.8903059, ""coherence"": null, ""trivariate"": 0.8367917, ""univariate"": 0.9419569, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.505, ""dcr_holdout"": 0.697, ""dcr_trn_hol"": 0.576, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.696, ""ims_training"": 0.0, ""nndr_holdout"": 0.709614429467, ""nndr_trn_hol"": 0.516718240261, ""nndr_training"": 0.719674201643}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.508, ""cosine_similarity_training_synthetic"": 0.8276754, ""discriminator_auc_training_synthetic"": 0.997}}",t
Ashish-Soni08,2025-07-03 22:14:53.059+00,2025-07-03 22:23:22.775585+00,flat,0.93839,0.504,0.968264,"{""accuracy"": {""overall"": 0.9383903, ""bivariate"": 0.9391594, ""coherence"": null, ""trivariate"": 0.9091803, ""univariate"": 0.966831, ""overall_max"": 0.9901142, ""bivariate_max"": 0.9919642, ""coherence_max"": null, ""trivariate_max"": 0.9814361, ""univariate_max"": 0.9969423}, ""distances"": {""dcr_share"": 0.504, ""dcr_holdout"": 0.62, ""dcr_trn_hol"": 0.576, ""ims_holdout"": 0.0, ""ims_trn_hol"": 0.0, ""dcr_training"": 0.62, ""ims_training"": 0.0, ""nndr_holdout"": 0.661103701422, ""nndr_trn_hol"": 0.516718240261, ""nndr_training"": 0.64012322596}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999864, ""discriminator_auc_training_holdout"": 0.504, ""cosine_similarity_training_synthetic"": 0.9981059, ""discriminator_auc_training_synthetic"": 0.917}}",t
Ashish-Soni08,2025-07-03 22:04:42.313+00,2025-07-03 22:07:04.186787+00,sequential,0.961874,0.51,0.973817,"{""accuracy"": {""overall"": 0.9618745, ""bivariate"": 0.9651825, ""coherence"": 0.975037, ""trivariate"": 0.9237774, ""univariate"": 0.9835009, ""overall_max"": 0.9721544, ""bivariate_max"": 0.9744715, ""coherence_max"": 0.988325, ""trivariate_max"": 0.9346247, ""univariate_max"": 0.9911964}, ""distances"": {""dcr_share"": 0.51, ""dcr_holdout"": 0.1, ""dcr_trn_hol"": 0.095, ""ims_holdout"": 0.002, ""ims_trn_hol"": 0.004, ""dcr_training"": 0.099, ""ims_training"": 0.003, ""nndr_holdout"": 0.00000011225, ""nndr_trn_hol"": 0.000000088521, ""nndr_training"": 0.000000109311}, ""similarity"": {""cosine_similarity_training_holdout"": 0.9999833, ""discriminator_auc_training_holdout"": 0.512, ""cosine_similarity_training_synthetic"": 0.9995646, ""discriminator_auc_training_synthetic"": 0.528}}",t
