task,participant,judge,run_id,server_type,file,runtime_s,accuracy_overall,accuracy_univariate,accuracy_bivariate,accuracy_trivariate,accuracy_coherence,accuracy_overall_max,accuracy_univariate_max,accuracy_bivariate_max,accuracy_trivariate_max,accuracy_coherence_max,similarity_cosine_similarity_training_synthetic,similarity_cosine_similarity_training_holdout,similarity_discriminator_auc_training_synthetic,similarity_discriminator_auc_training_holdout,distances_ims_training,distances_ims_holdout,distances_ims_trn_hol,distances_dcr_training,distances_dcr_holdout,distances_dcr_trn_hol,distances_dcr_share,distances_nndr_training,distances_nndr_holdout,distances_nndr_trn_hol,distances_nndr_ratio
FLAT1,Gandagorn,abhishek,1,g5.2xlarge,synthetic-FLAT1-run1.csv.gz,8756,0.991375,0.9978145,0.9935631,0.9827475,,0.9900822,0.9969423,0.9919642,0.98134,,0.9999949,0.9999854,0.506,0.5,0.0,0.0,0.0,0.103,0.103,0.098,0.506,0.093408675336,0.095992226662,0.052150350467,0.9730858277191862
FLAT1,Gandagorn,abhishek,2,g5.2xlarge,synthetic-FLAT1-run2.csv.gz,8678,0.9913495,0.9977724,0.9934898,0.9827862,,0.9901233,0.9969423,0.9919642,0.9814634,,0.9999911,0.9999855,0.501,0.51,0.0,0.0,0.0,0.103,0.104,0.098,0.506,0.103890997286,0.092178247017,0.048530805727,1.1270663160565406
FLAT1,Gandagorn,abhishek,3,g5.2xlarge,synthetic-FLAT1-run3.csv.gz,8679,0.9912982,0.9977657,0.9934502,0.9826786,,0.9901056,0.9969423,0.9919642,0.9814104,,0.9999919,0.9999854,0.513,0.493,0.0,0.0,0.0,0.103,0.104,0.098,0.507,0.072880756752,0.090252991241,0.051785507396,0.8075162468287459
FLAT1,Gandagorn,michi,4,g5.2xlarge,synthetic-FLAT1-run4.csv.gz,8676,0.9912585,0.997687,0.9933669,0.9827217,,0.9901449,0.9969423,0.9919642,0.9815283,,0.9999932,0.9999854,0.505,0.498,0.0,0.0,0.0,0.211,0.212,0.206,0.507,0.415593851874,0.449516442187,0.346603297378,0.9245353737274684
FLAT1,Gandagorn,michi,5,g5.2xlarge,synthetic-FLAT1-run5.csv.gz,8712,0.9912681,0.9977073,0.9934299,0.9826672,,0.9900999,0.9969423,0.9919642,0.9813934,,0.9999846,0.9999855,0.511,0.503,0.0,0.0,0.0,0.103,0.104,0.098,0.507,0.098886669692,0.087085162487,0.046438822666,1.1355168534796236
FLAT1,Gandagorn,michi,6,g5.2xlarge,synthetic-FLAT1-run6.csv.gz,8568,0.9913232,0.9978326,0.9935683,0.9825686,,0.9900352,0.9969423,0.9919642,0.9811991,,0.9999932,0.9999854,0.498,0.5,0.0,0.0,0.0,0.103,0.103,0.098,0.505,0.118848937477,0.094870969545,0.051834650729,1.2527429417765839
FLAT2,Tecnarca,shripad,1,g5.2xlarge,synthetic-FLAT2-run1.csv.gz,12909,0.9858024,0.9943018,0.9875211,0.9755843,,0.9900822,0.9969423,0.9919642,0.98134,,0.9999472,0.9999854,0.517,0.495,0.0,0.0,0.0,0.105,0.105,0.098,0.507,0.085434294115,0.080653193208,0.052150350467,1.0592797472341835
FLAT2,Tecnarca,shripad,2,g5.2xlarge,synthetic-FLAT2-run2.csv.gz,13020,0.9855114,0.9940879,0.9871469,0.9752995,,0.9901233,0.9969423,0.9919642,0.9814634,,0.99995,0.9999855,0.512,0.5,0.0,0.0,0.0,0.584,0.585,0.579,0.508,0.598831037371,0.60185212094,0.504588967533,0.9949803556988691
FLAT2,Tecnarca,shripad,3,g5.2xlarge,synthetic-FLAT2-run3.csv.gz,13199,0.9860345,0.9945864,0.9877262,0.975791,,0.9901056,0.9969423,0.9919642,0.9814104,,0.9999545,0.9999854,0.52,0.497,0.0,0.0,0.0,0.105,0.105,0.098,0.508,0.078763494222,0.084196773664,0.051785507396,0.9354692679355825
FLAT2,Tecnarca,mario,4,g5.2xlarge,synthetic-FLAT2-run4.csv.gz,12959,0.9851744,0.9937686,0.9867599,0.9749949,,0.9901449,0.9969423,0.9919642,0.9815283,,0.9999364,0.9999854,0.51,0.501,0.0,0.0,0.0,0.105,0.105,0.098,0.509,0.089163711006,0.092771826495,0.050846386318,0.9611076376814197
FLAT2,Tecnarca,mario,5,g5.2xlarge,synthetic-FLAT2-run5.csv.gz,12253,0.9850338,0.9936904,0.9866765,0.9747345,,0.9900999,0.9969423,0.9919642,0.9813934,,0.9999244,0.9999855,0.518,0.492,0.0,0.0,0.0,0.104,0.104,0.098,0.508,0.081826489992,0.080079643255,0.046438822666,1.0218138676197328
FLAT2,Tecnarca,mario,6,g5.2xlarge,synthetic-FLAT2-run6.csv.gz,12275,0.9852929,0.9940459,0.9870444,0.9747885,,0.9900352,0.9969423,0.9919642,0.9811991,,0.9999524,0.9999854,0.52,0.502,0.0,0.0,0.0,0.104,0.105,0.098,0.508,0.095426149188,0.096637744583,0.051834650729,0.9874625033911116
FLAT3,muellermarkus,suhas,1,g5.2xlarge,synthetic-FLAT3-run1.csv.gz,6870,0.9854265,0.9945478,0.9872124,0.9745194,,0.9900822,0.9969423,0.9919642,0.98134,,0.9999793,0.9999854,0.53,0.506,0.0,0.0,0.0,0.104,0.106,0.098,0.516,0.109728813503,0.130201228073,0.052150350467,0.8427632759460477
FLAT3,muellermarkus,suhas,2,g5.2xlarge,synthetic-FLAT3-run2.csv.gz,6871,0.9857077,0.9947845,0.9874623,0.9748763,,0.9901233,0.9969423,0.9919642,0.9814634,,0.9999793,0.9999855,0.533,0.503,0.0,0.0,0.0,0.105,0.106,0.098,0.517,0.111083717326,0.128203065428,0.048530805727,0.8664669363025927
FLAT3,muellermarkus,suhas,3,g5.2xlarge,synthetic-FLAT3-run3.csv.gz,6871,0.9857116,0.9948071,0.9874985,0.9748291,,0.9901056,0.9969423,0.9919642,0.9814104,,0.9999782,0.9999854,0.515,0.499,0.0,0.0,0.0,0.104,0.105,0.098,0.516,0.129515568646,0.125689017197,0.051785507396,1.0304445967860691
